course_link,canale,date_year,year,language,course_id,course_name,semester,professors,faculty
/cattedreonline/corso/859/A/L21BBBASE/2024,A,2024,1,Inglese,859,"Principles Of Economics",I Semestre,"Marco Spallone","Economics and business"
/cattedreonline/corso/859/B/L21BBBASE/2024,B,2024,1,Inglese,859,"Principles Of Economics",I Semestre,"Francesco Sobbrio","Economics and business"
/cattedreonline/corso/GL06/0/L24GLOBASE/2024,0,2024,1,Inglese,GL06,"Principles Of Roman Law",Secondo Semestre,"Jean-francois Gerkens / Fabiana Tuccillo","Global law"
/cattedreonline/corso/DSM09/0/LMDSMBASE/2024,0,2024,2,Inglese,DSM09,"Privacy In The Digital World",Primo Semestre,"Antonio Cilento / Mauro Orlandi","Data science and management"
/cattedreonline/corso/T107/0/3GSLMDZ/2024,0,2024,4,Inglese,T107,"Private International Law",II Semestre,"Alessandra Zanobetti","Giurisprudenza"
/cattedreonline/corso/GL05/0/L24GLOBASE/2024,0,2024,1,Inglese,GL05,"Private Law",Secondo Semestre,"Susanne Augenhofer / Livia Ventura","Global law"
/cattedreonline/corso/M241/0/19FLM1B/2024,0,2024,1,Italiano,M241,"Probabilita' E Applicazioni Alla Finanza",Primo Semestre,"Hlafo Alfie Mimun","Economia e finanza"
/cattedreonline/corso/M168/0/19FLMF1/2024,0,2024,1,Inglese,M168,"Probability",Primo Semestre,"Fabio Antonelli","Economia e finanza"
/cattedreonline/corso/EM30/0/LM19ABASE/2024,0,2024,2,Italiano,EM30,"Processi Di Digitalizzazione Nella Funzione Afc",Primo Semestre,"Giuseppe Mazzotta","Amministrazione, finanza e controllo"
/cattedreonline/corso/M212/0/3GSLMDP/2024,0,2024,5,Italiano,M212,"Processuale Penale - Esecuzione Penale",I Semestre,"Paola Balducci","Giurisprudenza"
/cattedreonline/corso/SMIS03/A/LMSMIBASE/2024,A,2024,1,Italiano,SMIS03,"Progettazione Organizzativa",Primo Semestre,"Elena Bruni","Strategic management, innovation and sustainability"
/cattedreonline/corso/SMIS03/B/LMSMIBASE/2024,B,2024,1,Italiano,SMIS03,"Progettazione Organizzativa",Primo Semestre,"Daniele Mascia","Strategic management, innovation and sustainability"
/cattedreonline/corso/M288/0/LM19AAC/2024,0,2024,2,Italiano,M288,"Programmazione E Controllo",Primo Semestre,"Carlo Ferro","Amministrazione, finanza e controllo"
/cattedreonline/corso/AJ5/0/3GSLMEL/2024,0,2024,4,Inglese,AJ5,"Public Comparative Law",II Semestre,"Cristina Fasone / Robert Schuetze","Giurisprudenza"
/cattedreonline/corso/T029/0/L21BBBASE/2024,0,2024,3,Inglese,T029,"Public Economics",I Semestre,"Giuseppina Gianfreda","Economics and business"
/cattedreonline/corso/T029/0/1EEL2BASE/2024,0,2024,3,Inglese,T029,"Public Economics",I Semestre,"Giuseppina Gianfreda","Economia e management"
/cattedreonline/corso/AN5/A/L22PPEBASE/2024,A,2024,1,Inglese,AN5,"Public Law",II Semestre,"Peter Jonathan Leyland / Nicola Lupo","Politics: philosophy and economics"
/cattedreonline/corso/AN5/B/L22PPEBASE/2024,B,2024,1,Inglese,AN5,"Public Law",II Semestre,"Cristina Fasone","Politics: philosophy and economics"
/cattedreonline/corso/LABDSM1/0/LMDSMBASE/2024,0,2024,1,Inglese,LABDSM1,"Python And R For Data Science (lab)",Primo Semestre,"Emilio Coppa","Data science and management"
/cattedreonline/corso/MRK02/0/LM19KBASE/2024,0,2024,1,Inglese,MRK02,"Qualitative & Quantitative Research Methods For Marketing",Primo Semestre,"Alba D'aniello","Marketing"
