course_link,canale,date_year,year,language,course_id,course_name,semester,professors
/cattedreonline/corso/SMDEF00005/0/LMDSMBASE/2024,0,2024,1,Inglese,SMDEF00005,"Algorithmic Trading",Primo Semestre,"Emilio Barone"
/cattedreonline/corso/SMDEF00005/0/LM19KBASE/2024,0,2024,1,Inglese,SMDEF00005,"Algorithmic Trading",Primo Semestre,"Emilio Barone"
/cattedreonline/corso/SMDEF00005/0/LM19WBASE/2024,0,2024,1,Inglese,SMDEF00005,"Algorithmic Trading",Primo Semestre,"Emilio Barone"
/cattedreonline/corso/SMDEF00005/0/19FLMBASE/2024,0,2024,1,Inglese,SMDEF00005,"Algorithmic Trading",Primo Semestre,"Emilio Barone"
/cattedreonline/corso/SMDEF00005/0/19MLMBASE/2024,0,2024,1,Inglese,SMDEF00005,"Algorithmic Trading",Primo Semestre,"Emilio Barone"
/cattedreonline/corso/TDS06/0/LAIMBASE/2024,0,2024,1,Inglese,TDS06,"Algorithms",Secondo Semestre,"Irene Finocchi"
/cattedreonline/corso/T069/0/L21BBBASE/2024,0,2024,3,Inglese,T069,"An Introduction To Programming (python)",II Semestre,"Gianluca Rossi"
/cattedreonline/corso/T069/0/1EEL2BASE/2024,0,2024,3,Inglese,T069,"An Introduction To Programming (python)",II Semestre,"Gianluca Rossi"
/cattedreonline/corso/MRK20/A/LM19KBASE/2024,A,2024,1,Italiano,MRK20,"Analisi Dei Dati",Secondo Semestre,"Leonardo Alaimo"
/cattedreonline/corso/MRK20/B/LM19KBASE/2024,B,2024,1,Italiano,MRK20,"Analisi Dei Dati",Secondo Semestre,"Laura Bocci"
/cattedreonline/corso/MRK15/A/LM19KBASE/2024,A,2024,1,Italiano,MRK15,"Analisi Del Comportamento D'acquisto",Primo Semestre,"Luigi Monsurrò / Ludovica Serafini"
/cattedreonline/corso/MRK15/B/LM19KBASE/2024,B,2024,1,Italiano,MRK15,"Analisi Del Comportamento D'acquisto",Primo Semestre,"Luigi Monsurrò / Ludovica Serafini"
/cattedreonline/corso/ET21/0/1EEL2BASE/2024,0,2024,3,Italiano,ET21,"Analisi E Contabilita' Dei Costi",II Semestre,"Adriana Rossi"
