link,faculty
/cattedreonline/corso/ET38/0/L21BBBASE/2024,"Economics and business"
/cattedreonline/corso/M326/0/19FLM1B/2024,"Economia e finanza"
/cattedreonline/corso/M326/0/LM19WBASE/2024,"Corporate finance"
/cattedreonline/corso/SAQ/0/L22PSBASE/2024,"Scienze politiche"
/cattedreonline/corso/SAQ/0/1EEL2BASE/2024,"Economia e management"
/cattedreonline/corso/EM45/0/LMGAPPC/2024,"Governo, amministrazione e politica"
/cattedreonline/corso/MRK18/A/LM19KBASE/2024,"Marketing"
/cattedreonline/corso/MRK18/B/LM19KBASE/2024,"Marketing"
/cattedreonline/corso/M438/0/LMGAPPC/2024,"Governo, amministrazione e politica"
/cattedreonline/corso/T058/0/L22PSBASE/2024,"Scienze politiche"
/cattedreonline/corso/T058/0/L22PPEBASE/2024,"Politics: philosophy and economics"
/cattedreonline/corso/EM49/0/LM20IRBASE/2024,"International relations"
/cattedreonline/corso/MRK05/0/LM19KBASE/2024,"Marketing"
/cattedreonline/corso/M437/0/LMGAPGA/2024,"Governo, amministrazione e politica"
/cattedreonline/corso/A61/A/3GSLMDN/2024,"Giurisprudenza"
/cattedreonline/corso/A61/A/1EEL2BASE/2024,"Economia e management"
/cattedreonline/corso/A61/B/3GSLMDN/2024,"Giurisprudenza"
/cattedreonline/corso/A61/B/1EEL2BASE/2024,"Economia e management"
/cattedreonline/corso/A61/C/3GSLMDN/2024,"Giurisprudenza"
/cattedreonline/corso/A61/C/1EEL2BASE/2024,"Economia e management"
/cattedreonline/corso/A61/D/3GSLMDN/2024,"Giurisprudenza"
/cattedreonline/corso/A61/D/1EEL2BASE/2024,"Economia e management"
/cattedreonline/corso/A61/E/3GSLMDN/2024,"Giurisprudenza"
/cattedreonline/corso/A61/E/1EEL2BASE/2024,"Economia e management"
/cattedreonline/corso/A61/F/3GSLMDN/2024,"Giurisprudenza"
/cattedreonline/corso/A61/F/1EEL2BASE/2024,"Economia e management"
/cattedreonline/corso/AN2/A/L22PPEBASE/2024,"Politics: philosophy and economics"
/cattedreonline/corso/AN2/B/L22PPEBASE/2024,"Politics: philosophy and economics"
/cattedreonline/corso/EM14/0/LM19KBASE/2024,"Marketing"
/cattedreonline/corso/SMIS16/0/LMSMIBMIN/2024,"Strategic management, innovation and sustainability"
/cattedreonline/corso/SMIS14/0/LMSMIBMIT/2024,"Strategic management, innovation and sustainability"
/cattedreonline/corso/BA014/A/L21BABASE/2024,"Business administration"
/cattedreonline/corso/T045/A/L21BBBASE/2024,"Economics and business"
/cattedreonline/corso/BA014/B/L21BABASE/2024,"Business administration"
/cattedreonline/corso/T045/B/L21BBBASE/2024,"Economics and business"
/cattedreonline/corso/M252/A/LM19WBASE/2024,"Corporate finance"
/cattedreonline/corso/M252/B/LM19WBASE/2024,"Corporate finance"
/cattedreonline/corso/SMDEF00013/0/19FLMBASE/2024,"Economia e finanza"
/cattedreonline/corso/SMR/0/LM19ABASE/2024,"Amministrazione, finanza e controllo"
/cattedreonline/corso/MNG02/0/19MLMMS/2024,"Management"
/cattedreonline/corso/SMIS05/A/LMSMIBASE/2024,"Strategic management, innovation and sustainability"
/cattedreonline/corso/SMIS05/B/LMSMIBASE/2024,"Strategic management, innovation and sustainability"
/cattedreonline/corso/SMIS11/C/LMSMIBASE/2024,"Strategic management, innovation and sustainability"
/cattedreonline/corso/SMIS11/D/LMSMIBASE/2024,"Strategic management, innovation and sustainability"
/cattedreonline/corso/T104/0/L22PPEBASE/2024,"Politics: philosophy and economics"
